Alert,Сповіщення,
Alert Destinations,Канали сповіщень,
Alerts,Сповіщення,
Create,Створити,
Dashboard,Інформаційна панель,
Dashboards,Дашборди,
Data Sources,Джерела даних,
Edit Profile,Редагувати профіль,
Favorite(s),Обраний(і/е),
Favorite Dashboards,Обрані інформаційні панелі,
will appear here,з'являться тут,
Favorite Queries,Обрані запити,
Groups,Групи,
Log out,Вийти,
Queries,Запити,
Query,Запит,
Query Snippets,Фрагменти запита,
Redash,Redash,
System Status,Статус системи,
Toggle navigation,Перемкнути навігацію,
Users,Користувачі,
Version:,Версія:,
Admin,Адміністратор,
Auto update,Автоматичне оновлення,
Celery Status,Статус черги запитів,
just now,щойно,
Last updated:,Останнє оновлення:,
Outdated Queries,Застарілі запити,
There are no outdated queries,Застарілих запитів не знайдено,
Active,Активні,
Active Tasks,Активні задачі,
Name,Назва,
No Data,Дані не знайдено,
Other Tasks,Інші задачі,
Queues,Черги,
Reserved,Зарезервовані,
Reserved Tasks,Зарезервовані задачі,
Waiting,В очікуванні,
Waiting Tasks,Задачі в очікуванні,
celery,черга запитів,
Dashboards Count,Кількість інформаційних панелей,
Last Refresh,Останнє оновлення,
Manager,Менеджер,
Outdated Queries Count,Кількість застарілих запитів,
Queries Count,Кількість запитів,
Query Results Count,Кількість результатів запита,
Query Results Size,Об'єм результатів запита,
Redash Database,База даних Redash,
Redash DB Size,Об'єм БД Redash,
Redis Used Memory,"Пам'ять, що використовується Redis",
Redis Used Memory Human,"Пам'ять, що використовується Redis (Користувач)",
scheduled_queries,заплановані запити,
Started,Запущено,
Unused Query Results Count,Кількість невикористаних результатів запита,
Version,Версія,
Widgets Count,Кількість віджетів,
an hour ago,годину тому,
Created At,Дата та час створення,
Last Updated At,Останнє оновлення,
State,Стан,
UNKNOWN,Невідомий,
Add,Додати,
Create New Destination,Створити новий канал сповіщення,
Custom subject,Користувацький об'єкт,
Delete,Видалити,
Description template,Шаблон опису,
equals,дорівнює,
greater than,більше ніж,
It looks like your mail server isn't configured. Make sure to configure it for the alert emails to work.,"Схоже, ваш поштовий сервер не налаштований. Переконайтеся, що ви налаштували його для роботи сповіщень електронної пошти.",
less than,менш ніж,
New Query,Новий запит,
Notifications,Сповіщення,
Op,Оператор,
Preview,Попередній перегляд,
Rearm seconds,Частота отримання сповіщень (сек),
Reference,Вихідне значення,
Save,Зберегти,
Search a query by name,Шукати запит за назвою,
Show As HTML,Показати як HTML,
Value,Значення,
Value column,Стовпець зі значенням,
Custom subject,Користувацький об'єкт,
New Alert,Нове сповіщення,
Op,Оператор,
